,start,stop,mid,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13,
19,45001,55001,50001,-0.402534954,-0.281728131,-0.064816612,1.866901062,-0.442006807,0.345545616,0.157653135,-1.509329898,-0.610830706,0.145330924,-1.349091369,-1.213322839,NA,
20,47501,57501,52501,-0.605279437,-0.359290422,-0.148786089,1.561958829,-0.37666919,-0.101288241,0.069497268,-1.239297832,-0.762384987,-0.065142644,-1.490317797,-1.389759983,NA,
21,50001,60001,55001,-0.068672661,-0.419896382,0.287748207,1.401171365,-0.379890291,-0.185345597,-0.074933299,-1.237598172,-1.088227768,-0.00913342,-1.551639937,-1.378389099,NA,
22,52501,62501,57501,NA,-0.084257058,0.302516927,1.116795016,-0.318135812,-0.230932793,-0.014916353,-1.320473089,-1.427396773,-0.049312883,-1.378734472,-1.346739588,NA,
23,55001,65001,60001,0.040253495,-0.030892068,0.455738288,0.870909561,-0.29128368,-0.059157688,0.000543604,-1.322677986,-1.317263343,0.157725113,-1.311889703,-1.291115724,NA,
24,57501,67501,62501,0.26164772,0.205557958,0.714826854,0.986515748,-0.304084609,0.124715023,-0.021579946,-1.564340659,-1.413219544,0.534139318,-1.365234543,-1.190184286,NA,
25,60001,70001,65001,0.085429653,0.373932507,0.773364028,1.261017958,-0.336052174,0.166550113,0.138119409,-1.633891111,-1.286539493,0.541722639,-1.49310456,-1.248334359,NA,
26,62501,72501,67501,-0.04246249,0.078432089,0.979365947,1.396005239,-0.142595647,0.247442712,0.255882217,-1.585104297,-1.186233494,0.368645672,-1.4895147,-1.018561736,NA,
27,65001,75001,70001,-0.071703319,0.111878991,0.859556227,1.645862652,-0.10964271,0.040661387,0.277368041,-1.629119956,-1.271951077,0.044027952,-1.451796055,-1.176877197,NA,
28,67501,77501,72501,-0.253368038,0.036884374,0.912434913,1.516444226,-0.141312098,0.189310423,0.257300093,-1.593397069,-1.199236853,0.074014327,-1.34431344,-1.188764751,NA,
29,70001,80001,75001,-0.194584719,-0.221528916,0.758146825,1.597972781,-0.232219602,0.281910624,0.198301896,-1.631582775,-1.285241156,-0.070232132,-1.232507244,-1.169279731,NA,
30,72501,82501,77501,0.522232002,-0.248245745,0.186031462,1.561713366,-0.476201346,0.192991456,0.242863285,-1.658630191,-1.340129849,-3.36E-05,-1.411177144,-1.313908427,NA,
31,75001,85001,80001,1.167988669,-0.519821654,0.321631264,1.498338764,-0.339147156,0.404435502,0.467705008,-1.579741922,-1.286272705,0.304492382,-1.30075192,-1.191330213,NA,
32,77501,87501,82501,1.306267224,-0.455771757,0.039542187,1.563774746,-0.388810005,0.064778446,0.47650643,-1.576565699,-1.298816567,0.218970945,-1.277773557,-1.204081125,NA,
33,80001,90001,85001,0.512954243,-0.411447116,0.184462318,1.206161559,-0.341539843,0.082490239,0.565521308,-1.484790565,-1.194055209,0.261243653,-1.414228536,-1.242809983,NA,
34,82501,92501,87501,0.512954243,-0.41723464,0.240003719,1.789921142,-0.350796453,0.124567286,0.685819605,-1.512551572,-0.990962714,0.129059982,-1.32062725,-1.160255726,NA,
35,85001,95001,90001,0.617078189,-0.404337886,0.208896821,1.949869063,-0.38698855,0.10677347,0.495272131,-1.278821369,-0.928151961,0.095863158,-1.542820254,-1.362141819,NA,
36,87501,97501,92501,0.26164772,-0.463603434,0.670681563,1.961000185,-0.278654961,0.377418969,0.489733154,-1.263725099,-1.079342766,0.105807312,-1.47999942,-1.383896719,NA,
37,90001,100001,95001,-0.173901244,-0.434285215,0.647314361,1.994428544,-0.295918298,0.328280282,0.441833129,-1.149886705,-1.145131316,0.150176096,-1.15032447,-1.387266243,NA,
38,92501,102501,97501,-0.173901244,-0.328886,0.258842483,1.885420933,-0.333074224,0.267305462,0.328674336,-0.937866564,-1.152017194,0.225577971,-1.116367844,-1.483952393,NA,
39,95001,105001,100001,-0.253368038,0.124120101,0.5464885,1.778366643,-0.366610475,0.150751223,0.223133817,-1.009818474,-1.274428835,0.043943046,-0.860784555,-1.472362126,NA,
40,97501,107501,102501,-0.170680752,0.299622256,0.020586507,1.671566352,-0.383781996,-0.12798246,0.179697422,-1.083266685,-1.171208547,-0.115942011,-0.078774973,-1.396904849,NA,
41,100001,110001,105001,0.42811846,0.302275279,-0.045516199,1.636765236,-0.182879555,-0.217293279,0.1369486,-1.242476688,-1.209405272,-0.102408475,-0.161840036,-1.326224541,NA,
42,102501,112501,107501,0.190069172,-0.133738726,0.029155178,1.583805163,-0.228069097,-0.052644341,0.215107423,-1.494025841,-1.318849894,-0.122470246,-0.190205984,-1.342066138,NA,
43,105001,115001,110001,0.362864505,-0.524602935,-0.359470521,1.749794855,-0.099578012,-0.087857702,0.390045813,-1.679449766,-1.387789786,0.040941705,-0.348108483,-1.37534149,NA,
44,107501,117501,112501,0.433622511,-0.613564923,0.742415774,1.981698202,-0.254556565,-0.040756486,0.499757079,-1.446911453,-1.388969484,0.237895946,-0.800565378,-1.437284526,NA,
45,110001,120001,115001,0.189320611,-0.213768623,1.003439132,2.068094895,-0.383202873,0.073886305,0.613378262,-1.368297054,-1.293193778,0.185608104,-0.782868416,-1.458409407,NA,
46,112501,122501,117501,0.191081207,-0.065841224,1.073124738,2.102444674,-0.385195636,-0.116407712,0.585930355,-1.322200815,-1.253536375,0.281488586,-0.775314962,-1.430301191,NA,
47,115001,125001,120001,0.074309358,0.088917783,0.758216875,1.84238996,-0.527852673,-0.158131367,0.750269926,-1.139059471,-1.167042114,0.254347966,-0.921618723,-1.4326622,NA,
48,117501,127501,122501,0.099372139,0.156695523,0.26690871,1.787724594,-0.535149059,-0.259118621,0.734990211,-1.273001936,-1.155149369,0.211100128,-1.067639854,-1.478720578,NA,
49,120001,130001,125001,0.123816541,-0.120803412,0.144732083,1.656192977,-0.623389828,-0.416627444,0.45972757,-1.337511264,-1.145338013,0.230081057,-1.038758503,-1.5166778,NA,
50,122501,132501,127501,0.108085614,-0.26038452,-0.118242657,1.604731711,-0.523461014,-0.383382191,0.399994676,-1.274027697,-1.182229453,0.301439038,-1.302456331,-1.526555895,NA,
51,125001,135001,130001,-0.070038243,-0.249017594,-0.300632455,1.648256176,-0.506407155,-0.384016359,0.14116808,-1.228645045,-1.240044438,0.218606069,-1.232021154,-1.526189125,NA,
52,127501,137501,132501,NA,-0.442032886,-0.794797777,1.605618406,-0.451194454,-0.283539957,-0.041754594,-1.104957312,-1.32055985,0.186481369,-1.35181195,-1.431967923,NA,
53,130001,140001,135001,0.040253495,-0.388808036,-0.265114564,1.804553926,-0.420083475,-0.231233935,0.031291822,-0.948171372,-1.364763754,0.0562333,-1.265028629,-1.413482462,NA,
54,132501,142501,137501,0.038920785,0.08951678,-0.372889487,1.882279858,-0.613349833,-0.276342837,0.026807564,-0.760832856,-1.326423955,-0.13776314,-0.833239254,-1.403047135,NA,
55,135001,145001,140001,0.371860474,0.547744557,0.162121393,2.249394351,-0.764910856,-0.219277037,0.105263325,-0.693232252,-1.306429334,-0.118733053,0.191654358,-1.348781319,NA,
56,137501,147501,142501,0.167655795,0.069300362,-0.012500377,2.735393757,-0.760397188,-0.206701782,0.091096731,-0.73220246,-1.192731893,-0.266412518,0.979861268,-1.458476642,NA,
57,140001,150001,145001,NA,-0.242222704,-0.717668726,1.83455847,-0.673223604,-0.133095445,0.053048688,-0.706494513,-1.214244778,0.762930309,1.215753473,-1.339418706,NA,
58,142501,152501,147501,0.167655795,0.08300434,-0.52987613,1.448831331,-0.445400382,-0.113878288,0.013411004,-0.984654028,-0.892920426,0.293960287,-0.061326839,-1.448555507,NA,
59,145001,155001,150001,-0.153597648,0.089691081,-0.471646922,1.551290992,-0.558229008,-0.163157614,0.068691075,-1.078567386,-0.982081436,0.237162507,-0.700008691,-1.470382609,NA,
60,147501,157501,152501,-0.27913557,0.173203583,-0.450058459,1.40151086,-0.750410261,-0.187793386,0.121738358,-1.252850406,-0.944700197,0.215297952,-1.863965365,-1.460681395,NA,
61,150001,160001,155001,0.040253495,0.019823587,-0.24624717,1.554608747,-0.653902384,0.016951424,0.546808821,-1.41646013,-1.048648997,0.242765257,-1.810346421,-1.489483635,NA,
62,152501,162501,157501,0.395403394,-0.289558757,0.537279873,1.950403729,-0.615848561,0.451993713,0.455600033,-1.520406676,-1.251041088,0.212611578,-1.933608251,-1.44104934,NA,
63,155001,165001,160001,0.318385392,-0.414991543,0.230007247,1.872246229,-0.367858644,0.415922759,0.260188364,-1.600929377,-1.139216882,0.229870649,-1.706801246,-1.444201511,NA,
64,157501,167501,162501,0.617078189,-0.301706196,0.274296296,1.770946459,-0.212385958,0.299131531,0.189207786,-1.536044725,-1.238941142,0.318228558,-1.469498193,-1.36080384,NA,
65,160001,170001,165001,0.339409236,-0.244434898,-0.021992214,1.726027649,-0.274556693,0.18112711,0.013116615,-1.466311538,-1.231517614,0.338105281,-1.158330917,-1.352678735,NA,
66,162501,172501,167501,0.040973325,-0.197960959,0.059059834,1.826152264,-0.364454339,0.125807187,0.073641506,-1.492208639,-1.332361645,0.295254428,-0.955788688,-1.40256714,NA,
67,165001,175001,170001,0.71703319,0.097967069,0.452289184,1.604373548,-0.404654447,0.085390442,0.076774728,-1.414959218,-1.48644416,0.201529184,-0.838833209,-1.410960151,NA,
68,167501,177501,172501,0.493463771,0.485249094,0.615849185,1.866165472,-0.325787835,-0.000245266,0.148878506,-1.299192772,-1.307608735,-0.109144904,-0.940135766,-1.51837476,NA,
69,170001,180001,175001,0.663050213,0.077805966,0.887218713,1.827700052,-0.110238805,0.11025398,0.040371775,-1.44600848,-1.373051258,-0.043890042,-1.323513567,-1.458402246,NA,
70,172501,182501,177501,0.713530766,0.079937664,0.838630407,1.626517792,-0.047897741,-0.118148695,-0.132708445,-1.367504424,-1.311508994,0.004010745,-1.254055576,-1.376033081,NA,
71,175001,185001,180001,-0.018828733,0.009298703,0.771483612,1.717511758,0.009886626,-0.116604288,-0.187487825,-1.315139085,-1.208911636,0.14169574,-1.30787537,-1.255216934,NA,
72,177501,187501,182501,-0.2124917,-0.646993736,0.630307154,1.637896499,-0.170672179,0.035273719,-0.302106195,-1.512009348,-1.391094734,0.20050045,-1.208897199,-1.29280918,NA,
73,180001,190001,185001,-0.80860754,-0.253303836,0.254966779,1.359856881,-0.586133261,-0.092854102,-0.214729665,-1.437837002,-1.284818717,0.138904993,-0.732323133,-1.318783146,NA,
74,182501,192501,187501,-0.754451078,0.010902267,0.026117772,1.509548038,-0.762671307,-0.107546244,-0.203399368,-1.455504466,-1.345698908,0.24753878,-0.798299599,-1.382152264,NA,
75,185001,195001,190001,-0.80860754,-0.165432089,-0.189377403,1.455909929,-0.826033578,-0.120693032,-0.152899177,-1.408778444,-1.237961777,0.235372105,-0.842880744,-1.374561453,NA,
76,187501,197501,192501,-0.81733648,0.170761139,0.091315958,1.374666927,-0.78615778,-0.3954687,-0.018401403,-1.334254251,-1.102272444,0.424642817,-0.891410152,-1.329941063,NA,
77,190001,200001,195001,-0.623929179,-0.671655784,0.551799366,1.761294469,-0.468927147,-0.202132978,0.169609079,-1.326648567,-1.112448715,0.449894508,-0.898462783,-1.400689662,NA,
78,192501,202501,197501,-0.605279437,-0.467748243,0.874746379,1.930040226,-0.367119132,-0.249594756,0.286994742,-1.19246562,-1.227027981,-0.15725734,-0.70904166,-1.371802697,NA,
79,195001,205001,200001,-0.225944796,-0.36722932,0.959379083,1.891895671,-0.382444342,-0.251895929,0.317797408,-1.171856413,-1.477522583,-0.417375912,-0.800486144,-1.314510493,NA,
80,197501,207501,202501,-0.26532116,-0.484609661,0.879945233,2.009849926,-0.373794256,-0.028736565,0.283739656,-1.205186004,-1.57873685,-0.449033302,-1.380378076,-1.34578752,NA,
81,200001,210001,205001,0.038920785,-0.009468025,0.012955375,2.053611986,-0.480615719,-0.25286341,0.133185405,-1.134760452,-1.619011935,-0.4390521,-1.80705935,-1.245196385,NA,
82,202501,212501,207501,0.083378759,0.016061332,-0.607840373,1.62472841,-0.548672372,-0.146877946,0.117090907,-1.224362735,-1.448701789,0.222166299,-1.81838448,-1.28331575,NA,
83,205001,215001,210001,-0.314458488,0.070349036,-0.105684809,1.489418351,-0.513729047,-0.105508665,0.159495278,-1.406453941,-1.337662732,0.617260244,-1.704733876,-1.361928686,NA,
84,207501,217501,212501,0.179690564,0.093921926,0.170072075,1.33202094,-0.424890453,0.031874355,0.223133817,-1.37464641,-1.161290588,0.596866022,-1.550619338,-1.392863325,NA,
85,210001,220001,215001,0.123816541,0.154584424,0.901939054,1.369537902,-0.491629603,0.050242202,0.334212701,-1.457334557,-1.211085739,0.440894672,-1.368923711,-1.424781976,NA,
86,212501,222501,217501,0.142706153,0.239100752,0.009114172,1.548905133,-0.345710625,0.123694704,0.47679267,-1.453588648,-1.3833603,0.427343232,-1.52381761,-1.397680177,NA,
87,215001,225001,220001,0.190636457,0.219413532,0.076705884,1.888708095,-0.417254853,-0.10688781,0.333074936,-1.413107619,-1.413217531,0.253904345,-1.450589732,-1.436722974,NA,
88,217501,227501,222501,0.142706153,0.221736895,-0.064816612,1.886798347,-0.532759019,-0.336465265,0.358370753,-1.425258387,-1.666699463,0.19954348,-1.424075495,-1.37018865,NA,
89,220001,230001,225001,0.186768648,0.19206326,-0.450058459,1.68741273,-0.430603388,-0.505693832,0.279855377,-1.456428613,-1.685329844,0.256799865,-1.48335844,-1.332996094,NA,
90,222501,232501,227501,0.167655795,-0.470994626,0.498646101,2.042381806,-0.916259397,-1.06771809,-0.414967053,-1.391717701,-1.163761007,-0.463081288,-0.1270441,-1.473740848,NA,
91,225001,235001,230001,0.602519457,-0.23410357,0.088237958,1.950759229,-0.734090035,-0.901730712,-0.293734378,-1.391303706,-1.334247911,-0.311063463,-0.17092357,-1.376614983,NA,
92,227501,237501,232501,0.536408399,-0.232664692,0.32921298,1.84413927,-0.691761202,-0.549708116,-0.312526978,-1.442031169,-1.304270345,-0.393487218,-0.695213393,-1.42404187,NA,
93,230001,240001,235001,0.464009714,-0.275795489,0.091315958,1.939377174,-0.544056661,-0.425268491,-0.219771296,-1.451211007,-1.271105475,-0.16956236,-0.933118319,-1.41089812,NA,
94,232501,242501,237501,0.440058956,0.054759835,0.13548134,1.907546351,-0.32731217,-0.181131195,0.062613609,-1.533040174,-1.262280817,0.105523766,-1.520212154,-1.324476829,NA,
95,235001,245001,240001,0.285412306,-0.249549634,0.32921298,1.905325645,-0.237733384,0.096801768,0.051087253,-1.499162995,-1.002827485,0.1940956,-1.585438503,-1.279203275,NA,
96,237501,247501,242501,0.339409236,-0.640577328,0.210878336,1.977711832,-0.054324173,0.067660064,-0.052088844,-1.465700669,-0.893108647,0.412539437,-1.303247706,-1.186255539,NA,
97,240001,250001,245001,0.372645523,-0.532670289,0.610821004,1.751158081,-0.10720847,0.04284851,-0.650813,-1.460007282,-0.787327448,0.298443858,-0.976429614,-1.081183442,NA,
98,242501,252501,247501,0.184317177,-0.646849265,-0.14138257,2.240252321,-1.39401194,-0.799504659,-1.430464719,-0.503434925,-1.435537678,-0.270113083,-0.759302204,-0.616930391,NA,
99,245001,255001,250001,0.389100875,-0.767717891,-0.390451125,1.745726401,-0.875922316,-0.395593868,-0.821856673,-1.391104394,-1.695742024,-0.471498669,-0.879845823,-1.522340142,NA,
100,247501,257501,252501,0.186768648,-0.380917434,-0.540288112,1.782584326,-0.826346198,-0.108775305,-0.404371263,-1.401172434,-1.473023361,-0.177439525,-1.052199768,-1.539961019,NA,
101,250001,260001,255001,0.389100875,-0.42737547,-0.633264249,1.876836587,-0.942627681,-0.393226564,0.301148705,-1.275571304,-1.44808295,-0.364343172,-1.200748858,-1.547051172,NA,
102,252501,262501,257501,0.040253495,-0.104319472,-0.502802282,1.836519414,-1.111117493,-0.128642013,0.602407545,-1.413107619,-1.330623406,0.026139144,-1.232937647,-1.498712683,NA,
103,255001,265001,260001,-0.225944796,-0.05695324,-0.113496942,1.711583274,-1.123504871,0.04816647,0.622984623,-1.484990383,-1.284803856,0.270257098,-1.313744578,-1.452100697,NA,
104,257501,267501,262501,0.134712498,-0.018798763,0.10736655,1.82737867,-1.040830169,0.068594328,0.449645673,-1.543640432,-1.371817362,0.257368232,-1.220209781,-1.421590266,NA,
105,260001,270001,265001,-0.071703319,0.162045822,0.242596949,1.886380779,-0.806884099,0.274294143,0.357744435,-1.667545658,-1.368647453,0.533159574,-1.129252083,-1.414510954,NA,
106,262501,272501,267501,-0.025388017,0.024616251,0.561208521,1.805234416,-0.446937297,0.148246784,0.199884819,-1.558332536,-1.413210286,0.524585974,-1.243503099,-1.441867119,NA,
107,265001,275001,270001,-0.179076976,-0.080123685,0.295261362,1.974139388,-0.31298565,0.157197924,0.244957141,-1.521553737,-1.378988365,0.6240446,-1.207746158,-1.31807663,NA,
108,267501,277501,272501,-0.425539689,-0.034510426,0.418228438,1.934829471,-0.101904838,0.161191166,0.603597147,-1.450780434,-1.242489449,0.483122933,-1.244635089,-1.160423865,NA,
109,270001,280001,275001,-0.285412306,-0.153176526,0.51986891,1.904663141,-0.091766951,0.036211427,0.758282563,-1.405835937,-1.052701275,0.419347067,-1.356356224,-0.907215419,NA,
110,272501,282501,277501,-0.541054466,-0.097974049,0.530481895,1.938777938,0.105951098,0.068021225,1.104103561,-1.498790359,-0.952139691,0.471892425,-1.060951786,-0.802933552,NA,
111,275001,285001,280001,0.040253495,-0.047254273,0.844996919,1.793241663,0.056257967,-0.044038329,1.162281072,-1.547663958,-1.09863723,0.307641383,-1.390965155,-1.150455452,NA,
112,277501,287501,282501,0.015776718,0.07326961,0.462169324,1.616849178,-0.22328452,-0.138220508,0.858712678,-1.568518751,-1.196590397,0.352872861,-1.221212776,-1.350172993,NA,
113,280001,290001,285001,0.015776718,0.025046699,0.32921298,1.499533828,-0.379773015,-0.141141459,0.629622767,-1.558318259,-1.281097944,0.425137379,-1.265336936,-1.319629294,NA,
114,282501,292501,287501,0.845949276,0.225298584,0.351086522,1.450940647,-0.650794505,-0.169120128,0.015846777,-1.544478816,-1.037625,0.377231672,-1.381305373,-1.30205097,NA,
115,285001,295001,290001,0.619840626,0.315864611,0.411096702,1.493363941,-0.661612167,-0.294181385,-0.180498848,-1.551800827,-0.958218295,0.247873797,-1.281243761,-1.139602573,NA,
116,287501,297501,292501,0.565362514,-0.017686586,0.364988077,1.458014448,-0.380721466,-0.25706159,-0.096389993,-1.532804047,-1.080435809,0.387232118,-1.592656299,-0.976056487,NA,
117,290001,300001,295001,0.543943689,-0.09095893,0.53648427,1.493699371,-0.18142,-0.059294293,0.005846612,-1.553951965,-1.177350088,0.277453876,-1.679015841,-0.993229962,NA,
118,292501,302501,297501,0.040973325,-0.176904651,0.52079737,1.579782287,-0.044086342,0.149981824,0.302096305,-1.566101519,-1.351826469,0.227327516,-1.688277412,-0.982720766,NA,
119,295001,305001,300001,-0.22895545,-0.144943397,0.635065934,1.79597805,-0.024447746,0.273265713,0.354921368,-1.50718733,-1.266589593,0.416462981,-1.7061482,-1.135721183,NA,
120,297501,307501,302501,-0.352193042,-0.093565172,0.614191589,2.082548022,-0.049530523,0.415759244,0.463367298,-1.631441364,-1.144190905,0.325084183,-1.428007856,-1.321084619,NA,
121,300001,310001,305001,-0.732657441,0.099407633,0.592004196,2.064699678,0.005428723,0.264115391,0.421814154,-1.530326872,-1.117819636,0.276698447,-1.024639095,-1.345473381,NA,
122,302501,312501,307501,-0.726801491,0.139675255,0.501113394,1.809809541,-0.153618706,-0.006176933,0.382665542,-1.50240049,-0.977591533,0.361495432,-0.61603945,-1.350912145,NA,
123,305001,315001,310001,-0.705971211,0.165993802,-0.238582935,1.479017978,-0.083363745,0.09997033,0.339356734,-1.501579296,-1.158285328,0.239940079,-0.516704135,-1.323783648,NA,
124,307501,317501,312501,-0.157767176,0.180687082,-0.46123082,1.381611858,-0.06536459,0.046396552,0.492084363,-1.464394309,-1.220532222,0.136574515,-0.468619133,-1.316323072,NA,
125,310001,320001,315001,-0.157767176,-0.050708616,-0.678639355,1.422845631,-0.097638968,0.055563401,0.588111787,-1.518674392,-1.132581805,0.272918248,-0.199425464,-1.345925723,NA,
126,312501,322501,317501,0.26164772,-0.609990383,-0.690125098,1.622584261,0.000971503,0.076941744,0.45193109,-1.515392668,-1.149727738,0.078659357,-0.275191522,-1.387266243,NA,
127,315001,325001,320001,0.389100875,-1.233241625,-0.105684809,1.5118062,-0.229326995,-0.154439439,0.169507312,-1.546995946,-1.044939599,0.003085822,-0.072223141,-1.387880255,NA,
128,317501,327501,322501,-0.389207848,-1.172633638,0.188976294,1.413042098,-0.590222193,-0.11900117,-0.118649795,-1.302333633,-1.004093032,-0.109214753,0.276954422,-1.355741007,NA,
129,320001,330001,325001,0.038920785,-0.879812791,-0.131582596,1.476205058,-0.739916764,-0.123653692,-0.107269851,-1.127358526,-1.001342152,-0.440986772,-0.679017782,-1.359054708,NA,
130,322501,332501,327501,-0.222343357,-0.46951478,-0.398646532,1.647370534,-0.657289631,-0.256282517,-0.214208553,-1.118466452,-1.220107136,-0.497425242,-1.353184545,-1.360671117,NA,
131,325001,335001,330001,-0.27913557,0.02561955,-0.607840373,1.928853452,-0.53627082,-0.237089449,-0.066040133,-0.897214827,-1.220294132,-0.385016235,-1.285610685,-1.242858754,NA,
132,327501,337501,332501,-0.068672661,0.401539226,-0.52987613,2.278800706,-0.301831418,-0.671887431,0.053292806,-1.122108474,-1.330216532,-0.176791358,-1.493438624,-1.248840219,NA,
133,330001,340001,335001,-0.314458488,0.273505186,-0.337672271,2.215606553,-0.212762081,-0.673457966,-0.020869,-1.327164998,-1.409998231,0.007084531,-1.446024882,-1.141620951,NA,
134,332501,342501,337501,-0.754451078,-0.088196284,-0.386694612,2.049899048,-0.290950671,-0.465821817,0.089020653,-1.352791724,-1.309202546,0.43789004,-1.492905971,-0.816792549,NA,
135,335001,345001,340001,-0.796843874,-0.123244163,-0.527227432,2.030619396,-0.410728646,-0.38345188,0.170103791,-1.500401586,-1.499471308,0.261486202,-1.501886873,-1.096265232,NA,
136,337501,347501,342501,-0.528065474,-0.271343526,-0.691532967,1.952589621,-0.465972962,-0.094427138,0.201634134,-1.520367673,-1.474108174,0.292469924,-1.513792767,-1.068821389,NA,
137,340001,350001,345001,-0.541054466,-0.258646703,-0.691532967,1.870286412,-0.296718527,-0.067556948,0.304348133,-1.55717418,-1.383025479,0.175843616,-1.368028076,-1.168018574,NA,
138,342501,352501,347501,-0.359233327,0.285422669,-0.504390802,1.978355627,-0.41718157,-0.050343654,0.31741954,-1.434868382,-1.397959681,-0.17134404,-1.235594975,-1.318814707,NA,
139,345001,355001,350001,0.142706153,0.706240088,-0.286578219,1.990398,-0.419912478,-0.12314794,0.326753697,-1.26915093,-0.993844799,-0.056521708,-1.141666141,-1.221147427,NA,
140,347501,357501,352501,0.372645523,0.500835482,0.289714629,2.073433341,-0.504667734,-0.173520376,0.368276092,-1.096175016,-1.094070143,-0.311300637,-1.273298561,-1.31032285,NA,
141,350001,360001,355001,0.902091944,0.48366072,0.111234008,2.156230664,-0.505798298,-0.089059775,0.430425841,-0.773831979,-1.187538241,-0.144821172,-1.548903645,-1.229311823,NA,
142,352501,362501,357501,0.4887493,-0.001379701,0.504662242,2.17541749,-0.39271719,-0.030064871,0.346502246,-1.051860681,-1.126207805,0.041663911,-1.416111893,-1.324639178,NA,
143,355001,365001,360001,0.18828733,-0.606987117,0.458625131,2.17972047,-0.036522317,0.077664087,0.410666688,-1.198217641,-1.498763876,-0.461064909,-1.466498245,-1.351908114,NA,
144,357501,367501,362501,-0.153597648,-0.544087992,0.405424339,2.122889068,0.044441433,0.212544305,0.3696376,-1.239408359,-1.668993146,-0.541983999,-1.455257969,-1.181569506,NA,
145,360001,370001,365001,-0.314458488,-0.558951084,1.014324361,2.115064164,0.038487539,0.129740513,0.012486718,-1.578757621,-1.712792367,-0.971157995,-1.06055159,-1.207163189,NA,
146,362501,372501,367501,NA,-0.59754413,NA,2.00022034,0.31686865,NA,NA,-1.544619422,-2.018168028,-1.776327596,NA,NA,NA,
147,365001,375001,370001,NA,-0.588755616,NA,2.150311552,-0.190472304,NA,NA,-1.070008281,-2.02364366,-1.716924686,NA,NA,NA,
